M,N,K,t,tflops
2,1048576,64,0.002945686,0.0911283334340456
2,1048576,128,0.005762537,0.09316572058452727
2,1048576,256,0.011238892,0.0955380498362294
2,1048576,512,0.02839971,0.07561639354768059
2,2097152,2,0.001705181,0.009838964895808714
2,2097152,4,0.00171121,0.019608599762740986
2,2097152,8,0.001754122,0.03825780874990451
2,2097152,16,0.001795981,0.07473226498498592
2,2097152,32,0.003168776,0.08471266381719629
2,2097152,64,0.00589635,0.09105139823789293
2,2097152,128,0.011393504,0.09424158046550034
2,2097152,256,0.02846296,0.07544835983327103
2,4194304,2,0.003386546,0.009908157751289956
2,4194304,4,0.003371971,0.01990196950092394
2,4194304,8,0.003442609,0.038987212314846094
2,4194304,16,0.003470136,0.0773558892216328
2,4194304,32,0.006221601,0.08629144041863179
2,4194304,64,0.011678785,0.0919395145984792
2,4194304,128,0.029172902,0.07361227374636914
2,8388608,2,0.006753346,0.00993712805474501
2,8388608,4,0.006779036,0.019798940144291906
2,8388608,8,0.006787739,0.0395471092804246
2,8388608,16,0.006821474,0.07870306505602748
2,8388608,32,0.012334771,0.08705000068505528
2,8388608,64,0.030304609,0.0708632686202947
2,16777216,2,0.013478603,0.009957836728331565
2,16777216,4,0.013926417,0.019275270588264014
2,16777216,8,0.014541437,0.036920072754845344
2,16777216,16,0.01488667,0.07212773736503866
2,16777216,32,0.032334376,0.06641487833258326
2,33554432,2,0.034475386,0.007786292980156917
2,33554432,4,0.03470343,0.015470255015138273
2,33554432,8,0.034724209,0.030921995199372287
2,33554432,16,0.034907204,0.0615197839391548
2,67108864,2,0.061028267,0.008797085979846027
2,67108864,4,0.061245193,0.017531854687763006
2,67108864,8,0.061625214,0.03484748382374785
2,134217728,2,0.114174725,0.009404374076661889
2,134217728,4,0.114729643,0.01871777503918495
2,268435456,2,0.220515236,0.009738481961400617
4,2,2,1.6916e-5,1.8917001655237646e-6
4,2,4,1.69e-5,3.78698224852071e-6
4,2,8,1.6762e-5,7.636320248180408e-6
4,2,16,1.681e-5,1.5229030339083879e-5
4,2,32,2.1704e-5,2.3590121636564688e-5
4,2,64,3.2021e-5,3.197901377221199e-5
4,2,128,5.0613e-5,4.04639124335645e-5
4,2,256,8.9185e-5,4.5927005662387174e-5
4,2,512,0.000285293,2.8714339293287954e-5
4,2,1024,0.000456815,3.5865722447818043e-5
4,2,2048,0.000648705,5.051294502123462e-5
4,2,4096,0.001314105,4.9871205116790514e-5
4,2,8192,0.00259266,5.055502842640377e-5
4,2,16384,0.005071773,5.1686855858888005e-5
4,2,32768,0.010030101,5.2271457685221714e-5
4,2,65536,0.023708848,4.4227201591574585e-5
4,2,131072,0.0477829,4.388917374207091e-5
4,2,262144,0.087426832,4.7975019842878446e-5
4,2,524288,0.176129977,4.7627372369440556e-5
4,2,1048576,0.360621908,4.652300824718614e-5
4,2,2097152,0.716057702,4.685995542856406e-5
4,2,4194304,1.417521286,4.734240301207019e-5
